subProject,Sub Project Code,Community Type,Type,District,Contractor,Status,% Completion,Beneficiaries,subProject_clean,uuid,deviceId,subProject_LIPW,androidId,serial,osVersion,osName,device,model,user,host,lastConnected,location,deviceAccess,createUserId,createDate,updateUserId,lastUpdated,_merge
Completion of Small Earth Dam at Nagboo,21518,Rural,Dam,EAST MAMPRUSI,ANTARAH ENTERPRISE LIMITED,OnGoing,56.0,290,completion of small earth dam at nagboo,46549F30-8BA0-449D-804B-4542F4942A44,RP1A.200720.011,Completion of Small Earth Dam at Nagboo,7604d6676b11317e,7604d6676b11317e,4.19.127,Linux,FP08,FP08,,hby,2025-06-25 09:45:18.700,"10.464791666666667,-0.3427133333333333",2.0,0.0,2024-11-19 06:45:00,1167.0,2025-06-04 11:05:00,both
Rehabilitation of Small Earth Dam at Nakpanduri Nanpaukbauk   ,21520,Rural,Dam,BUNKPURUGU,Amobet Engineering & Construction Ltd,Paused,5.0,212,rehabilitation of small earth dam at nakpanduri nanpaukbauk,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Boya - Kpalsako  - Aniisi  - Zeego   Feeder  Road (6.30 Km),21543,Rural,Feeder Road,BAWKU WEST,,OnGoing,57.45,227,rehabilitation of boya  kpalsako  aniisi  zeego feeder road 630 km,,,,,,,,,,,,,,,,,,,left_only
 MAINTENANCE OF 4.2HA CASHEW PLANTATION AT JAKPA ,20795,Rural,Climate Change,CHEREPONI,,Completed,100.0,16,maintenance of 42ha cashew plantation at jakpa,D43DF6E2-8977-4CFC-86FC-7A199B42BFDD,EKEMP.M8.2020, MAINTENANCE OF 4.2HA CASHEW PLANTATION AT JAKPA ,1be02c5431e63274,M820202206423,3.18.79,Linux,m8,M8,,android157,2024-08-08 19:52:20.213,"10.138038333333332,0.29040666666666665",2.0,0.0,2024-06-04 16:39:00,20.0,2024-07-13 14:54:00,both
Rehabilitation of Gundago- Gbango-Kansogo Feeder Road (5.0km),20913,Rural,Feeder Road,BAWKU WEST,KPALUA COMPANY LIMITED,OnGoing,54.5,122,rehabilitation of gundago gbangokansogo feeder road 50km,22E28A9C-FBD4-4BCF-8002-5ABB907D42CB,RP1A.200720.011,Rehabilitation of Gundago- Gbango-Kansogo Feeder Road (5.0km),97725df6f322ed0d,97725df6f322ed0d,4.19.127,Linux,M8,M8,,ekemp158,2024-07-31 20:25:51.547,"10.709183333333332,-0.412535",2.0,0.0,2024-05-03 14:16:00,20.0,2024-07-31 20:08:00,both
Rehabilitation of Nayoko No. 2 - Gore clinic  Feeder Road (5.5km),20914,Rural,Feeder Road,BINDURI,Tuniyu Enterprise,OnGoing,66.1,217,rehabilitation of nayoko no 2  gore clinic feeder road 55km,28762204-06B8-473F-B57E-DDB6B57D5913,RP1A.200720.011,Rehabilitation of Nayoko No. 2 - Gore clinic  Feeder Road (5.5km),66e7b046eb20dd0d,66e7b046eb20dd0d,4.19.127,Linux,FP08,FP08,,hby,2025-06-18 16:10:39.180,"10.798371666666666,-0.86458",2.0,0.0,2025-02-28 15:55:00,1138.0,2025-06-18 15:48:00,both
"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Yarigu community",21146,Rural,Climate Change,BAWKU WEST,,OnGoing,65.0,66,rehabilitation of 10 ha degraded communal land using cashew trees including 25000 seedling nursery at yarigu community,D783A3D2-DE77-429F-80A9-3FB17201120B,EKEMP.M8.2020,"Rehabilitation of 10 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Yarigu community",06588c73a1504965,M820202206385,3.18.79,Linux,m8,M8,,android157,2025-08-04 10:34:31.663,"10.959311666666668,-0.39504666666666666",2.0,0.0,2025-05-24 11:10:00,1138.0,2025-07-14 06:51:00,both
"Rehabilitation of 7.1 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Asebre community",21149,Rural,Climate Change,BONGO,,Completed,100.0,45,rehabilitation of 71 ha degraded communal land using cashew trees including 25000 seedling nursery at asebre community,D7AFB2F4-0474-4C72-AAE6-2623708874D0,RP1A.200720.011,"Rehabilitation of 7.1 ha degraded communal land using CASHEW trees including 25,000 Seedling Nursery at Asebre community",504466a9d0e9dca8,504466a9d0e9dca8,4.19.127,Linux,M8,M8,,ekemp158,2025-07-01 20:24:11.473,"10.988621666666665,-0.8163900000000001",2.0,0.0,2025-02-04 15:41:00,1138.0,2025-06-01 19:27:00,both
Rehabilitation of small earth Dam at Salpiiga,21263,Rural,Dam,BAWKU WEST,Pedi Constructions Works Enterprise ,OnGoing,29.8,165,rehabilitation of small earth dam at salpiiga,BE9B6A8C-2984-42BA-AF62-C9953150685A,RP1A.200720.011,Rehabilitation of small earth Dam at Salpiiga,1e8d664f19071452,1e8d664f19071452,4.19.127,Linux,FP08,FP08,,hby,2025-04-10 17:00:53.813,"11.068923333333332,-0.40256000000000003",2.0,0.0,2024-11-07 20:53:00,1138.0,2025-03-01 19:13:00,both
Rehabilitation of Small Earth Dam at Gumakutari,21264,Rural,Dam,BAWKU ,Urban Planner Ghana Ltd,OnGoing,57.0,199,rehabilitation of small earth dam at gumakutari,26AB31E2-484C-4B36-832B-D64995932BF3,RP1A.200720.011,Rehabilitation of Small Earth Dam at Gumakutari,058dc55b167b9f03,058dc55b167b9f03,4.19.127,Linux,FP08,FP08,,hby,2025-07-05 23:20:45.210,"10.608369999999999,-1.4224983333333334",2.0,0.0,2025-01-09 09:42:00,1138.0,2025-01-10 09:43:00,both
Rehabilitation of Small Earth Dam at Douskoum,21281,Rural,Dam,TEMPANE,Shahefac Enterprise ,OnGoing,60.2,364,rehabilitation of small earth dam at douskoum,64C5A43F-BEFB-4168-A2D7-108EB62A3CD0,EKEMP.M8.2020,Rehabilitation of Small Earth Dam at Douskoum,e0b079a79e31220d,M820202206307,3.18.79,Linux,m8,M8,,android157,2025-02-25 00:50:44.610,"11.048475,-0.2716366666666667",2.0,0.0,2024-10-16 13:11:00,1138.0,2025-02-24 00:08:00,both
Rehabilitation of Kpalwega - Nyorigu Feeder Road (2.8 Km),21449,Rural,Feeder Road,BAWKU ,Al-Amaf Enterprise,OnGoing,33.0,236,rehabilitation of kpalwega  nyorigu feeder road 28 km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Tingre - Kuyelingo   Feeder Road (5.00 Km),21450,Rural,Feeder Road,BONGO,Asirawini and Sons Limited,OnGoing,42.95,256,rehabilitation of tingre  kuyelingo feeder road 500 km,,,,,,,,,,,,,,,,,,,left_only
Rehabilitation of Gbangbalanchet-Bimbago Feeder Road Phase 2 (5.0Km),21463,Rural,Feeder Road,YUNYOO-NASUAN,Messrs Bomshele Enterprise,OnGoing,49.3,191,rehabilitation of gbangbalanchetbimbago feeder road phase 2 50km,0E88CCEE-3E11-4CC9-8B5C-061059C71056,RP1A.200720.011,Rehabilitation of Gbangbalanchet-Bimbago Feeder Road Phase 2 (5.0Km),4a77935c5aaa7b83,4a77935c5aaa7b83,4.19.127,Linux,FP08,FP08,,hby,2025-06-20 20:50:02.280,"10.552556666666666,-0.08134333333333334",2.0,0.0,2024-08-29 10:25:00,1138.0,2024-10-13 10:50:00,both
Construction of Small Earth Dam at Danando,21517,Rural,Dam,CHEREPONI,AR QUALITY ENG. SERVICES,OnGoing,26.0,167,construction of small earth dam at danando,B784FD8A-EFE1-45CD-89DF-5EF77E140889,RP1A.200720.011,Construction of Small Earth Dam at Danando,39d5feeb5561aef8,39d5feeb5561aef8,4.19.127,Linux,FP08,FP08,,hby,2025-06-12 14:39:08.180,"10.1353208,0.2888981",2.0,0.0,2024-11-18 21:54:00,1167.0,2025-02-27 13:51:00,both
Rehabilitation of Small Earth Dam at Doninga Delogsa,21531,Rural,Dam,BUILSA SOUTH,MAACHIE ENTERPRISE,OnGoing,40.2,123,rehabilitation of small earth dam at doninga delogsa,76177AB0-06AF-4349-A185-76F7FCC2AF6E,RP1A.200720.011,Rehabilitation of Small Earth Dam at Doninga Delogsa,ecd4f9de8aa50899,ecd4f9de8aa50899,4.19.127,Linux,FP08,FP08,,hby,2025-03-25 19:10:18.437,"10.608300000000002,-1.4224566666666665",2.0,0.0,2024-11-08 09:00:00,1138.0,2025-02-20 07:49:00,both
Rehabilitation of Small Earth Dam at Bugwiea,21532,Rural,Dam,GARU,,Dropped,0.0,219,rehabilitation of small earth dam at bugwiea,0954C227-EECB-4D22-A9A3-F172D7555838,RP1A.200720.011,Rehabilitation of Small Earth Dam at Bugwiea,a5b8d0992ff77676,a5b8d0992ff77676,4.19.127,Linux,FP08,FP08,,hby,2024-12-11 12:02:32.773,"10.833498333333333,-0.17067333333333332",2.0,0.0,2024-10-04 13:35:00,1138.0,2024-12-06 17:59:00,both
